variable,universe,usProp,ALProp,AKProp,AZProp,ARProp,CAProp,COProp,CTProp,DEProp,DCProp,FLProp,GAProp,HIProp,IDProp,ILProp,INProp,IAProp,KSProp,KYProp,LAProp,MEProp,MDProp,MAProp,MIProp,MNProp,MSProp,MOProp,MTProp,NEProp,NVProp,NHProp,NJProp,NMProp,NYProp,NCProp,NDProp,OHProp,OKProp,ORProp,PAProp,RIProp,SCProp,SDProp,TNProp,TXProp,UTProp,VTProp,VAProp,WAProp,WVProp,WIProp,WYProp,date
tooExpensiveMainReason,noInternetAtHome,0.280198,0.272417,0.286379,0.333065,0.270843,0.286588,0.401102,0.214721,0.23721,0.339498,0.325049,0.28834,0.257007,0.3343,0.269729,0.278273,0.196792,0.307175,0.246133,0.313595,0.242515,0.284388,0.319491,0.266169,0.258376,0.215694,0.297971,0.25983,0.202264,0.31259,0.269054,0.267883,0.291687,0.237918,0.281754,0.211152,0.24149,0.267057,0.266112,0.195387,0.270148,0.306077,0.209817,0.30407,0.300919,0.261715,0.28943,0.33042,0.339725,0.179849,0.315483,0.233931,2013-07-01
homeEverOnline,noInternetAtHome,0.187343,0.18436,0.250354,0.223653,0.179762,0.214143,0.194657,0.149927,0.122814,0.162488,0.16604,0.171224,0.181054,0.197331,0.194172,0.219741,0.196475,0.242533,0.193681,0.133324,0.199482,0.207587,0.144916,0.209218,0.222593,0.162331,0.229022,0.211943,0.182522,0.203818,0.194773,0.187995,0.153047,0.149498,0.147621,0.203707,0.19006,0.174523,0.204259,0.147728,0.19079,0.214467,0.253113,0.162188,0.200399,0.199351,0.187008,0.18253,0.326082,0.149593,0.128158,0.204204,2015-07-01
canUseElsewhereMainReason,noInternetAtHome,0.020985,0.015744,0.007289,0.050052,0.029011,0.02448,0.07805,0.021014,0.027313,0.027176,0.015972,0.014956,0.005425,0.0,0.01377,0.011582,0.005793,0.029103,0.003803,0.007177,0.019674,0.041653,0.02754,0.011687,0.004963,0.030755,0.021364,0.017705,0.027841,0.014086,0.021506,0.035411,0.02335,0.031088,0.022508,0.055881,0.018361,0.018385,0.017027,0.006354,0.012286,0.023552,0.019741,0.015259,0.021482,0.014593,0.026663,0.012414,0.023935,0.017607,0.005838,0.013983,2015-07-01
noNeedInterestMainReason,noInternetAtHome,0.552129,0.533852,0.444634,0.47172,0.504876,0.490396,0.441139,0.654895,0.590122,0.465875,0.571824,0.519612,0.610713,0.553948,0.562531,0.569704,0.643825,0.504571,0.605562,0.653315,0.62011,0.564587,0.580491,0.594465,0.643174,0.550218,0.581997,0.614068,0.566283,0.553053,0.600085,0.542362,0.510344,0.543042,0.531871,0.646202,0.581275,0.508094,0.596429,0.592926,0.603718,0.507421,0.5788,0.584298,0.549402,0.464562,0.596085,0.547996,0.509803,0.583038,0.606044,0.643464,2015-07-01
noComputerMainReason,noInternetAtHome,0.073377,0.07917,0.06667,0.101301,0.060881,0.077911,0.071876,0.070846,0.072071,0.110692,0.055177,0.105925,0.107102,0.119638,0.138895,0.090448,0.045293,0.090339,0.074699,0.063318,0.034974,0.043792,0.051611,0.067328,0.057197,0.121533,0.077747,0.045414,0.057224,0.080485,0.078049,0.088679,0.069667,0.071378,0.084096,0.075074,0.04296,0.041597,0.088883,0.06323,0.101742,0.067279,0.07656,0.052548,0.071143,0.102498,0.054989,0.062835,0.073643,0.074144,0.054531,0.04595,2015-07-01
unavailableMainReason,noInternetAtHome,0.023793,0.028922,0.034831,0.033427,0.039197,0.023898,0.050913,0.021051,0.0,0.03983,0.017837,0.016224,0.035141,0.019626,0.0,0.014428,0.011794,0.038813,0.018112,0.00696,0.00821,0.0,0.003561,0.010452,0.006072,0.057622,0.00364,0.030853,0.016142,0.009832,0.019356,0.025751,0.034068,0.011148,0.037674,0.0,0.055155,0.027868,0.024525,0.034749,0.017377,0.015885,0.010854,0.015988,0.031489,0.03005,0.028668,0.052682,0.038257,0.033175,0.007588,0.036892,2015-07-01
privSecMainReason,noInternetAtHome,0.013965,0.007736,0.0,0.01044,0.00909,0.012052,0.019493,0.013487,0.032975,0.003202,0.018257,0.015996,0.0,0.012228,0.00588,0.017171,0.006085,0.012819,0.010124,0.014776,0.023856,0.07129,0.00794,0.011414,0.008195,0.019082,0.025384,0.006144,0.005416,0.0,0.013169,0.011345,0.029868,0.022748,0.007154,0.021926,0.022016,0.003769,0.028372,0.007538,0.020014,0.011852,0.019106,0.015149,0.010743,0.007429,0.0,0.004272,0.004209,0.018533,0.012287,0.046231,2015-07-01
tooExpensiveMainReason,noInternetAtHome,0.235092,0.282757,0.321668,0.230559,0.27846,0.279572,0.29067,0.184499,0.189287,0.279905,0.23832,0.249427,0.174545,0.170655,0.203742,0.211882,0.175285,0.235314,0.215502,0.202066,0.209755,0.210977,0.251836,0.232418,0.204143,0.172562,0.195933,0.217276,0.23001,0.278133,0.14886,0.162503,0.280896,0.189223,0.234932,0.158359,0.206389,0.331765,0.187158,0.203411,0.184517,0.316347,0.23828,0.256729,0.26577,0.301821,0.212952,0.218672,0.273688,0.21704,0.212243,0.139432,2015-07-01
homeEverOnline,noInternetAtHome,0.188601,0.144583,0.22238,0.217332,0.194436,0.185645,0.321419,0.168787,0.206666,0.147753,0.197373,0.202017,0.205341,0.26573,0.202111,0.247109,0.177664,0.190509,0.145615,0.096425,0.152323,0.133101,0.166368,0.224032,0.237629,0.146375,0.205825,0.175096,0.12793,0.257937,0.161131,0.141934,0.127107,0.173974,0.214808,0.189576,0.217802,0.179682,0.213015,0.1374,0.141816,0.183335,0.1304,0.122472,0.203889,0.15877,0.247171,0.275287,0.160062,0.177124,0.168224,0.16088,2017-11-01
canUseElsewhereMainReason,noInternetAtHome,0.023384,0.019366,0.025369,0.021439,0.014893,0.008832,0.00698,0.017315,0.046664,0.028908,0.052078,0.003605,0.005914,0.013484,0.009355,0.026044,0.026218,0.018171,0.0,0.02127,0.0,0.016921,0.046971,0.017666,0.022796,0.029427,0.030126,0.013864,0.028254,0.028034,0.029101,0.03867,0.013853,0.043329,0.028747,0.013289,0.020424,0.0155,0.055209,0.030521,0.008677,0.011254,0.016484,0.014162,0.017434,0.009637,0.028399,0.016674,0.057476,0.002662,0.014136,0.012629,2017-11-01
noNeedInterestMainReason,noInternetAtHome,0.579064,0.594278,0.466836,0.555324,0.60827,0.525017,0.510142,0.547045,0.577243,0.520799,0.595918,0.513084,0.624143,0.629544,0.623656,0.659948,0.674569,0.575235,0.634933,0.57645,0.761259,0.577792,0.623164,0.522252,0.588472,0.592275,0.593162,0.689281,0.75147,0.569136,0.640909,0.608901,0.510581,0.617189,0.562281,0.622748,0.605226,0.586229,0.557285,0.60959,0.673602,0.527336,0.594897,0.561696,0.548538,0.535495,0.634611,0.56239,0.546165,0.663348,0.601084,0.60852,2017-11-01
noComputerMainReason,noInternetAtHome,0.043135,0.027745,0.08097,0.02252,0.035543,0.081458,0.060822,0.036039,0.012958,0.035956,0.048556,0.025089,0.057564,0.035908,0.035375,0.063516,0.026149,0.026382,0.028062,0.061697,0.028912,0.031163,0.017824,0.054328,0.032555,0.046543,0.030959,0.026636,0.023549,0.05595,0.047407,0.061925,0.036388,0.029263,0.05339,0.011749,0.043672,0.042221,0.057101,0.037381,0.008576,0.044514,0.053349,0.056936,0.024925,0.022642,0.011344,0.031284,0.024936,0.027583,0.056525,0.058713,2017-11-01
unavailableMainReason,noInternetAtHome,0.023506,0.015938,0.053782,0.017529,0.060993,0.011381,0.03374,0.03608,0.056499,0.040464,0.020913,0.038132,0.012588,0.031223,0.021452,0.01647,0.0,0.010347,0.082241,0.037228,0.063828,0.010183,0.010243,0.031071,0.029854,0.039611,0.051138,0.030267,0.023206,0.054237,0.009272,0.0,0.030269,0.013526,0.048317,0.038832,0.015144,0.030199,0.01366,0.017344,0.0,0.025664,0.024252,0.028578,0.017514,0.008062,0.026659,0.022027,0.03699,0.029209,0.00983,0.053634,2017-11-01
privSecMainReason,noInternetAtHome,0.016719,0.0,0.0076,0.039873,0.003871,0.026034,0.0,0.017003,0.005715,0.015905,0.011974,0.01359,0.007798,0.015582,0.01409,0.004588,0.0,0.026396,0.012056,0.013335,0.0,0.007065,0.003216,0.016513,0.0,0.007147,0.017195,0.005614,0.006504,0.016906,0.011215,0.022888,0.003086,0.014122,0.01665,0.004556,0.038195,0.016011,0.048639,0.036524,0.016065,0.033955,0.017509,0.032751,0.007133,0.009398,0.033272,0.0,0.013321,0.011194,0.013695,0.0,2017-11-01
tooExpensiveMainReason,noInternetAtHome,0.212337,0.24986,0.26711,0.203912,0.197799,0.222117,0.243916,0.233994,0.201116,0.203362,0.189288,0.295305,0.187311,0.194376,0.188147,0.154735,0.131274,0.215359,0.20033,0.175609,0.115309,0.205852,0.206462,0.257015,0.211969,0.205861,0.2281,0.184008,0.105237,0.197732,0.16246,0.167147,0.339157,0.165537,0.210017,0.164169,0.171529,0.194893,0.12409,0.166788,0.194683,0.224514,0.2178,0.212635,0.305812,0.257466,0.128135,0.225892,0.246403,0.172306,0.220778,0.202338,2017-11-01
